Step	Loss	Loss per Cell	 Change 
610	3485036544.000000	50326.164062	71.195312
611	3480103424.000000	50254.925781	71.238281
612	3475170048.000000	50183.687500	71.238281
613	3470256128.000000	50112.726562	70.960938
614	3465347072.000000	50041.835938	70.890625
615	3460440320.000000	49970.980469	70.855469
616	3455534080.000000	49900.128906	70.851562
617	3450638336.000000	49829.433594	70.695312
618	3445752320.000000	49758.875000	70.558594
619	3440870144.000000	49688.371094	70.503906
620	3435997952.000000	49618.015625	70.355469
621	3431115264.000000	49547.507812	70.507812
622	3426245376.000000	49477.183594	70.324219
623	3421385216.000000	49407.000000	70.183594
624	3416534272.000000	49336.949219	70.050781
625	3411686144.000000	49266.937500	70.011719
626	3406840832.000000	49196.968750	69.968750
627	3402007552.000000	49127.171875	69.796875
628	3397190400.000000	49057.609375	69.562500
629	3392366080.000000	48987.941406	69.667969
630	3387547904.000000	48918.367188	69.574219
631	3382724096.000000	48848.707031	69.660156
632	3377913344.000000	48779.238281	69.468750
633	3373121792.000000	48710.042969	69.195312
634	3368326656.000000	48640.796875	69.246094
635	3363534848.000000	48571.601562	69.195312
636	3358748672.000000	48502.484375	69.117188
637	3353964800.000000	48433.402344	69.082031
638	3349203456.000000	48364.648438	68.753906
639	3344428544.000000	48295.695312	68.953125
640	3339669504.000000	48226.972656	68.722656
641	3334898944.000000	48158.082031	68.890625
642	3330142464.000000	48089.394531	68.687500
643	3325403904.000000	48020.964844	68.429688
644	3320659712.000000	47952.457031	68.507812
645	3315927808.000000	47884.125000	68.332031
646	3311199744.000000	47815.847656	68.277344
647	3306471168.000000	47747.566406	68.281250
648	3301758208.000000	47679.507812	68.058594
649	3297049856.000000	47611.515625	67.992188
650	3292344064.000000	47543.562500	67.953125
651	3287630592.000000	47475.496094	68.066406
652	3282932224.000000	47407.648438	67.847656
653	3278247168.000000	47339.992188	67.656250
654	3273564672.000000	47272.375000	67.617188
655	3268885504.000000	47204.804688	67.570312
656	3264205568.000000	47137.222656	67.582031
657	3259531520.000000	47069.726562	67.496094
658	3254876160.000000	47002.500000	67.226562
659	3250216704.000000	46935.214844	67.285156
